Source,Target,BDeu,TSource,TTarget
AT3G15210,AT3G13980,-54.88560867,AT3G15210,AT3G13980
AT5G23280,AT3G13980,-54.88560867,AT5G23280,AT3G13980
AT3G15210,AT5G18020,-54.88560867,AT3G15210,AT5G18020
AT5G23280,AT5G18020,-54.88560867,AT5G23280,AT5G18020
AT3G15210,AT1G29420,-58.2868042,AT3G15210,AT1G29420
AT5G23280,AT1G29420,-58.2868042,AT5G23280,AT1G29420
AT3G15210,AT5G18060,-58.2868042,AT3G15210,AT5G18060
AT5G23280,AT5G18060,-58.2868042,AT5G23280,AT5G18060
AT3G15210,AT5G18030,-83.50988007,AT3G15210,AT5G18030
AT5G23280,AT5G18030,-83.50988007,AT5G23280,AT5G18030
AT3G10040,AT5G03280,-89.4262619,AT3G10040,AT5G03280
AT3G15210,AT5G03280,-89.4262619,AT3G15210,AT5G03280
AT3G15210,AT1G29490,-148.4672394,AT3G15210,AT1G29490
AT5G23280,AT1G29490,-148.4672394,AT5G23280,AT1G29490
AT5G23280,AT4G37580,-165.2706604,AT5G23280,AT4G37580
AT3G50330,AT2G21050,-9.8875103,AT3G50330,LAX2
AT2G28550,AT2G17500,-29.6625309,RAP2.7,AT2G17500
AT2G46970,AT2G17500,-29.6625309,AT2G46970,AT2G17500
AT3G06740,AT2G46990,-55.44618607,AT3G06740,IAA20
AT3G49930,AT1G29460,-61.09016418,AT3G49930,AT1G29460
AT4G28110,AT1G29460,-61.09016418,AT4G28110,AT1G29460
AT5G47230,AT4G02520,-63.18065643,AT5G47230,AT4G02520
AT5G47640,AT4G02520,-63.18065643,AT5G47640,AT4G02520
AT1G36060,AT1G28130,-75.291008,AT1G36060,GH3.17
AT1G36060,AT5G57740,-76.97740936,AT1G36060,XBAT32
AT3G23240,AT4G32810,-88.49074554,AT3G23240,AT4G32810
AT5G41570,AT4G32810,-88.49074554,AT5G41570,AT4G32810
AT1G25560,AT4G14550,-90.05091095,TEM1,IAA14
AT1G67100,AT4G14550,-90.05091095,AT1G67100,IAA14
AT1G36060,AT5G54500,-110.257576,AT1G36060,AT5G54500
AT3G58190,AT4G37390,-9.8875103,AT3G58190,AT4G37390
AT5G17810,AT1G29450,-9.8875103,WOX12,AT1G29450
AT1G25560,AT1G52830,-29.6625309,TEM1,AT1G52830
AT5G57520,AT1G52830,-29.6625309,AT5G57520,AT1G52830
AT5G57520,AT1G48690,-36.31455994,AT5G57520,AT1G48690
AT5G57520,AT3G17600,-36.31455994,AT5G57520,AT3G17600
AT5G57520,AT3G62680,-36.31455994,AT5G57520,PRP3
AT5G57520,AT5G07990,-36.31455994,AT5G57520,AT5G07990
AT5G57520,AT5G25890,-36.31455994,AT5G57520,IAA28
AT5G57520,AT3G16420,-36.31455994,AT5G57520,AT3G16420
AT2G37740,AT1G10210,-36.78456116,AT2G37740,AT1G10210
AT2G37740,AT1G18570,-36.78456116,AT2G37740,AT1G18570
AT2G37740,AT1G21410,-36.78456116,AT2G37740,SKP2A
AT2G37740,AT1G53700,-36.78456116,AT2G37740,WAG1
AT2G37740,AT1G59750,-36.78456116,AT2G37740,AT1G59750
AT2G37740,AT1G59870,-36.78456116,AT2G37740,PEN3
AT2G37740,AT2G42620,-36.78456116,AT2G37740,AT2G42620
AT2G37740,AT2G46690,-36.78456116,AT2G37740,AT2G46690
AT2G37740,AT4G12550,-36.78456116,AT2G37740,AIR1
AT2G37740,AT4G37610,-36.78456116,AT2G37740,AT4G37610
AT2G37740,AT5G01490,-36.78456116,AT2G37740,AT5G01490
AT2G37740,AT5G12050,-36.78456116,AT2G37740,AT5G12050
AT2G37740,AT5G13790,-36.78456116,AT2G37740,AT5G13790
AT2G37740,AT5G66700,-36.78456116,AT2G37740,AT5G66700
AT2G22770,AT5G63310,-36.90234375,AT2G22770,AT5G63310
AT2G22770,AT1G15050,-36.90234375,AT2G22770,AT1G15050
AT2G22770,AT2G23170,-36.90234375,AT2G22770,AT2G23170
AT2G22770,AT4G11280,-46.32585907,AT2G22770,AT4G11280
AT1G52830,AT2G31180,-68.62870789,AT1G52830,AT2G31180
AT2G37740,AT1G54200,-70.52583313,AT2G37740,AT1G54200
AT2G37740,AT3G16350,-71.21897888,AT2G37740,AT3G16350
