Source,Target,BDeu,TSource,TTarget
AT3G10040,AT5G03280,-89.4262619,AT3G10040,AT5G03280
AT3G15210,AT5G03280,-89.4262619,AT3G15210,AT5G03280
AT3G15210,AT5G13910,-129.7225037,AT3G15210,AT5G13910
AT3G10040,AT1G68840,-137.8718567,AT3G10040,AT1G68840
AT3G10040,AT4G16750,-156.5265961,AT3G10040,AT4G16750
AT3G15210,AT4G16750,-156.5265961,AT3G15210,AT4G16750
AT5G23280,AT4G37580,-165.2706604,AT5G23280,AT4G37580
AT3G15210,AT1G25560,-171.0900269,AT3G15210,TEM1
AT1G74840,AT5G55620,-43.61974716,AT1G74840,AT5G55620
AT4G11140,AT4G05100,-45.75489807,CRF1,AT4G05100
AT3G49930,AT5G25350,-58.97995377,AT3G49930,AT5G25350
AT4G28110,AT5G25350,-58.97995377,AT4G28110,AT5G25350
AT3G49930,AT5G64750,-59.58608627,AT3G49930,AT5G64750
AT4G28110,AT5G64750,-59.58608627,AT4G28110,AT5G64750
AT5G41570,AT4G24670,-59.82725143,AT5G41570,AT4G24670
AT5G67060,AT4G24670,-59.82725143,AT5G67060,AT4G24670
AT1G36060,AT1G44830,-62.07099533,AT1G36060,AT1G44830
AT5G47230,AT1G44830,-62.07099533,AT5G47230,AT1G44830
AT5G47230,AT3G16770,-63.18065643,AT5G47230,AT3G16770
AT5G47640,AT3G16770,-63.18065643,AT5G47640,AT3G16770
AT5G47230,AT3G23150,-63.18065643,AT5G47230,AT3G23150
AT5G47640,AT3G23150,-63.18065643,AT5G47640,AT3G23150
AT5G47230,AT5G17490,-63.18065643,AT5G47230,AT5G17490
AT5G47640,AT5G17490,-63.18065643,AT5G47640,AT5G17490
AT5G47220,AT2G26070,-100.878418,AT5G47220,AT2G26070
AT5G53980,AT2G26070,-100.878418,AT5G53980,AT2G26070
AT2G46970,AT1G72360,-29.6625309,AT2G46970,AT1G72360
AT1G36060,AT1G72360,-29.6625309,AT1G36060,AT1G72360
AT5G57520,AT3G62680,-36.31455994,AT5G57520,PRP3
AT5G57520,AT4G39780,-36.31455994,AT5G57520,AT4G39780
AT5G57520,AT3G03450,-36.31455994,AT5G57520,RGL2
AT2G46990,AT3G15356,-55.57875443,IAA20,AT3G15356
AT3G56400,AT3G15356,-55.57875443,AT3G56400,AT3G15356
AT4G16750,AT2G40940,-57.18819427,AT4G16750,AT2G40940
AT5G57520,AT2G40940,-57.18819427,AT5G57520,AT2G40940
AT1G29160,AT1G12890,-9.8875103,AT1G29160,AT1G12890
AT2G37740,AT1G10480,-36.78456116,AT2G37740,AT1G10480
AT2G37740,AT1G18570,-36.78456116,AT2G37740,AT1G18570
AT2G37740,AT2G38210,-36.78456116,AT2G37740,AT2G38210
AT2G37740,AT2G40220,-36.78456116,AT2G37740,AT2G40220
AT2G37740,AT2G44940,-36.78456116,AT2G37740,AT2G44940
AT2G37740,AT4G28140,-36.78456116,AT2G37740,AT4G28140
AT2G37740,AT5G21120,-36.78456116,AT2G37740,EIL2
AT1G72360,AT1G21910,-37.05649567,AT1G72360,AT1G21910
AT2G37740,AT1G77640,-44.72739029,AT2G37740,AT1G77640
AT2G22770,AT4G11280,-46.32585907,AT2G22770,AT4G11280
AT1G52830,AT2G31180,-68.62870789,AT1G52830,AT2G31180
AT2G37740,AT3G16350,-71.21897888,AT2G37740,AT3G16350
