Source,Target,BDeu,TSource,TTarget
AT4G11140,AT1G32560,-9.88751059812842,CRF1,AT1G32560
AT4G11140,AT1G75900,-9.88751059812842,CRF1,AT1G75900
AT4G11140,AT2G13610,-9.88751059812842,CRF1,AT2G13610
AT4G11140,AT2G37390,-9.88751059812842,CRF1,AT2G37390
AT4G11140,AT3G53420,-9.88751059812842,CRF1,AT3G53420
AT3G50330,AT1G14700,-9.88751059812842,AT3G50330,AT1G14700
AT3G06740,AT1G21110,-9.88751059812842,AT3G06740,AT1G21110
AT3G50330,AT2G21050,-9.88751059812842,AT3G50330,LAX2
AT3G50330,AT3G23470,-9.88751059812842,AT3G50330,AT3G23470
AT3G06740,AT4G00430,-9.88751059812842,AT3G06740,AT4G00430
AT3G06740,AT4G27530,-9.88751059812842,AT3G06740,AT4G27530
AT1G42990,AT2G37380,-9.88751059812843,AT1G42990,MAKR3
AT5G60850,AT4G30530,-9.88751059812843,AT5G60850,AT4G30530
AT1G42990,AT5G51780,-9.88751059812843,AT1G42990,AT5G51780
AT3G06740,AT1G17310,-9.88751059812843,AT3G06740,AT1G17310
AT5G47640,AT2G15760,-9.88751059812843,AT5G47640,AT2G15760
AT5G47640,AT2G31110,-9.88751059812843,AT5G47640,AT2G31110
AT5G47640,AT3G51600,-9.88751059812843,AT5G47640,AT3G51600
AT3G06740,AT3G62060,-9.88751059812843,AT3G06740,AT3G62060
AT3G06740,AT4G16442,-9.88751059812843,AT3G06740,AT4G16442
AT5G47640,AT4G38580,-9.88751059812843,AT5G47640,AT4G38580
AT2G28550,AT5G49630,-9.88751059812843,RAP2.7,AT5G49630
AT1G64380,AT1G01620,-29.6625317941544,AT1G64380,AT1G01620
AT1G67100,AT1G01620,-29.6625317941544,AT1G67100,AT1G01620
AT1G42990,AT1G02900,-29.6625317941544,AT1G42990,AT1G02900
AT1G67100,AT1G02900,-29.6625317941544,AT1G67100,AT1G02900
AT1G42990,AT1G03120,-29.6625317941544,AT1G42990,AT1G03120
AT1G67100,AT1G03120,-29.6625317941544,AT1G67100,AT1G03120
AT3G50330,AT1G15170,-29.6625317941544,AT3G50330,AT1G15170
